#OTU ID	Platz19	Platz14	Platz11	Platz10	Platz18	Platz15	Platz12	Platz22	Platz13	Platz20	Platz2	Platz1	Platz16	Platz21	Platz24	Platz17	Platz5	Platz25	Platz8	Platz6	Platz7	Platz4	positiv	Platz3	Platz23	Platz9	taxonomy
564140	65.0	0.0	472.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	530.0	0.0	28.0	166.0	124.0	0.0	61.0	65.0	0.0	35.0	0.0	0.0	0.0	48.0	19.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
354517	85.0	609.0	6.0	1379.0	642.0	0.0	0.0	674.0	2984.0	426.0	802.0	4100.0	1644.0	23.0	262.0	1648.0	943.0	345.0	130.0	2102.0	541.0	1274.0	0.0	618.0	9959.0	1282.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
191703	61.0	52.0	0.0	0.0	28.0	0.0	0.0	0.0	240.0	0.0	4.0	0.0	147.0	0.0	296.0	38.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	110.0	0.0	116.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
369526	55.0	54.0	0.0	0.0	2962.0	1990.0	0.0	61.0	400.0	0.0	0.0	0.0	44.0	0.0	0.0	6934.0	117.0	369.0	63.0	0.0	186.0	223.0	0.0	487.0	263.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
194696	51.0	0.0	0.0	106.0	0.0	0.0	1442.0	0.0	0.0	0.0	0.0	0.0	869.0	0.0	0.0	99.0	0.0	7.0	0.0	0.0	307.0	0.0	0.0	46.0	948.0	2135.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
2201995	82.0	0.0	0.0	24.0	0.0	0.0	0.0	220.0	0.0	0.0	0.0	601.0	0.0	516.0	492.0	0.0	37.0	352.0	18.0	0.0	93.0	203.0	0.0	463.0	366.0	83.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
340113	67.0	4.0	0.0	0.0	0.0	529.0	101.0	23.0	10.0	91.0	8.0	0.0	1476.0	0.0	0.0	0.0	224.0	322.0	0.0	0.0	42.0	118.0	0.0	562.0	531.0	296.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
325268	44.0	224.0	161.0	0.0	301.0	432.0	739.0	65.0	912.0	226.0	120.0	1759.0	335.0	548.0	128.0	647.0	360.0	601.0	360.0	354.0	54.0	704.0	0.0	420.0	587.0	668.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
179911	40.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	2008.0	242.0	0.0	0.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	38.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
365891	75.0	1.0	0.0	0.0	0.0	15.0	10.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	23.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
366771	38.0	0.0	72.0	0.0	0.0	162.0	0.0	57.0	0.0	0.0	463.0	1600.0	341.0	455.0	713.0	0.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
174974	61.0	0.0	0.0	0.0	0.0	14.0	6.0	0.0	0.0	140.0	56.0	103.0	0.0	167.0	0.0	0.0	0.0	351.0	54.0	0.0	36.0	140.0	0.0	559.0	132.0	201.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
349257	43.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	730.0	0.0	0.0	0.0	161.0	315.0	0.0	14.0	18.0	181.0	0.0	65.0	7.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
519746	53.0	67.0	139.0	0.0	218.0	131.0	2.0	5.0	419.0	101.0	0.0	370.0	17.0	886.0	860.0	359.0	111.0	123.0	32.0	50.0	51.0	223.0	0.0	546.0	181.0	416.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__
185730	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1019.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__eggerthii
1950496	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
192055	56.0	23.0	365.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
