# Constructed from biom file
#OTU ID	Platz12	Platz2	Platz16	Platz13	Platz18	Platz17	Platz15	Platz1	Platz3	Platz19	Platz4	Platz5	Platz7	Platz6	Platz14	Platz8	Platz9	taxonomy
555945	568.0	58.0	902.0	89.0	165.0	194.0	5193.0	10.0	378.0	1840.0	14.0	214.0	512.0	370.0	144.0	2198.0	87.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__SMB53; s__
318569	480.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2922.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
509416	477.0	1166.0	684.0	0.0	1422.0	752.0	2761.0	2543.0	195.0	3695.0	2897.0	661.0	9659.0	3491.0	1369.0	855.0	2767.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
191683	451.0	276.0	526.0	314.0	0.0	232.0	131.0	0.0	448.0	0.0	0.0	847.0	1244.0	2598.0	0.0	795.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
186090	779.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	26.0	0.0	1216.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
365621	500.0	0.0	117.0	233.0	503.0	128.0	0.0	1717.0	0.0	1883.0	186.0	237.0	0.0	349.0	1357.0	627.0	3059.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
198449	691.0	0.0	1898.0	9694.0	0.0	0.0	0.0	572.0	0.0	0.0	0.0	3911.0	0.0	4171.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
848669	395.0	0.0	1190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1179.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
188308	364.0	0.0	0.0	59.0	122.0	130.0	0.0	0.0	0.0	0.0	448.0	217.0	0.0	0.0	214.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
348007	541.0	88.0	0.0	0.0	187.0	3232.0	0.0	0.0	271.0	2377.0	88.0	653.0	0.0	0.0	462.0	57.0	3073.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
847228	350.0	860.0	0.0	1002.0	449.0	164.0	150.0	5670.0	885.0	0.0	0.0	2540.0	0.0	0.0	634.0	1150.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
149614	349.0	816.0	1033.0	1395.0	3131.0	940.0	2417.0	5160.0	1325.0	4523.0	617.0	1264.0	0.0	1806.0	1887.0	2830.0	1615.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4471854	335.0	260.0	799.0	99.0	0.0	168.0	0.0	898.0	484.0	0.0	1965.0	312.0	0.0	1859.0	400.0	0.0	1070.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
334336	329.0	3.0	967.0	90.0	18.0	199.0	0.0	230.0	58.0	1393.0	131.0	0.0	43.0	49.0	450.0	210.0	1010.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
325437	517.0	0.0	62.0	0.0	88.0	152.0	0.0	0.0	1056.0	0.0	0.0	975.0	0.0	845.0	282.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
357028	271.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2521.0	0.0	0.0	0.0	0.0	2793.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
