#SampleID	Group
KontrolleA	KontrolleA
KontrolleK	KontrolleK
Platz10	Platz10
Platz11	Platz11
Platz12	Platz12
Platz13	Platz13
Platz14	Platz14
Platz15	Platz15
Platz16	Platz16
Platz17	Platz17
Platz18	Platz18
Platz19	Platz19
Platz1	Platz1
Platz20	Platz20
Platz21	Platz21
Platz22	Platz22
Platz23	Platz23
Platz24	Platz24
Platz25	Platz25
Platz2	Platz2
Platz3	Platz3
Platz4	Platz4
Platz5	Platz5
Platz6	Platz6
Platz7	Platz7
Platz8	Platz8
Platz9	Platz9
